ID,Username,Password,,,,
1,user1,rg43443gjng34,,,,
2,joey23,34ng34g34nkg,,,,
3,michael.dow,kn2ig4ni34gni3,,,,
4,ubcool888,4g3n4gk3n4gk,,,,
5,louise.may5,njn43gkn34knk,,,,
6,everthought.t, 34kg3kgnk3g4,,,,
7,cryptoManiac,i34ni34ign43ig,,,,
8,bitcoinDigger,in4ging3ni34gi,,,,
9,lolololol45,n43kgnk34gk4,,,,
10,imurmum,dbj4db32bdi3ni,,,,
11,michel.dasta,h3igigihgigi5n4,,,,
12,maluma24,43ngnk34gnkn,,,,
13,esperandos,f8h3hf838fh93,,,,
14,yosoyBOSS,ih34fo43fojfo4,,,,
15,nathalie.X,on43fno34o43,,,,
16,user13945,o43fo3jo34jfoj,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
